anime_id,title,source,rating,score,scored_by,premiered,studio
35505,velvet underworld: alternative,original,pg-13 - teens 13 or older,4.8,41,unknown,
6822,ukkari pénélope (2009),unknown,g - all ages,6.15,76,summer 2009,nippon animation
5943,the aurora: umi no aurora,unknown,none,5.28,25,unknown,
11583,kami nomi zo shiru sekai: natsu-iro surprise,unknown,pg-13 - teens 13 or older,6.62,3497,unknown,manglobe
34943,t7s longing for summer again and again: harukaze,game,pg-13 - teens 13 or older,6.47,82,unknown,chiptune
34430,detective conan movie 21: the crimson love letter,manga,g - all ages,7.89,3793,unknown,tms entertainment
9627,kakko kawaii sengen!,original,pg-13 - teens 13 or older,5.73,209,fall 2010,
36398,na mo nai hana no youni,original,g - all ages,3.5,14,unknown,
6727,mechakko dotakon,unknown,g - all ages,6.48,33,spring 1981,
22495,hello kitty no yume no oshiro no ouji-sama,unknown,g - all ages,5.93,29,unknown,
7745,zettai karen children ova: aitazousei! ubawareta mirai?,unknown,pg-13 - teens 13 or older,7.32,2156,unknown,synergysp
8671,raja maharaja,music,g - all ages,4.87,110,unknown,
10824,ranma ½: doco music video,unknown,pg-13 - teens 13 or older,7.04,750,unknown,
34692,umbrella fighter!,original,g - all ages,3.92,12,unknown,
24999,akai jitensha,original,g - all ages,5.22,51,unknown,
31698,zhan long si qu,unknown,g - all ages,4.85,26,unknown,
31972,tang lang bu chan,other,g - all ages,5.75,109,unknown,shanghai animation film studio
4804,to heart 2 ad plus,unknown,pg-13 - teens 13 or older,6.85,1526,unknown,
8719,donna donna,music,g - all ages,5.2,109,unknown,
353,ojamajo doremi dokkaan!,unknown,g - all ages,7.56,3552,winter 2002,toei animation
2762,igano kabamaru,manga,pg-13 - teens 13 or older,8.07,2651,fall 1983,group tac
32792,mobile suit gundam unicorn re:0096,novel,pg-13 - teens 13 or older,7.56,5709,spring 2016,sunrise
15809,hataraku maou-sama!,light novel,pg-13 - teens 13 or older,7.98,389033,spring 2013,white fox
11049,shin maple town monogatari: palm town-hen - konnichiwa! atarashii machi,unknown,g - all ages,6.38,67,unknown,toei animation
3627,d.c.ii s.s.: da capo ii second season,visual novel,pg-13 - teens 13 or older,7.33,10514,spring 2008,feel.
33126,kurogane no linebarrels picture drama,manga,none,5.95,44,unknown,gonzo
30814,landscape,original,g - all ages,4.07,106,unknown,
20085,only you: viva! cabaret club,unknown,none,5.78,9,fall 1998,
2205,bakuretsu tenshi: infinity,original,pg-13 - teens 13 or older,6.88,5735,unknown,gonzo
17535,fairy tail movie 1: houou no miko - hajimari no asa,manga,pg-13 - teens 13 or older,7.49,25272,unknown,"satelight, a-1 pictures"
1151,dominion,manga,pg-13 - teens 13 or older,7.03,4693,unknown,agent 21
15125,teekyuu,manga,pg-13 - teens 13 or older,6.71,18133,fall 2012,mappa
27621,glass no kamen desu ga to z,unknown,pg-13 - teens 13 or older,5.88,69,spring 2013,dle
10149,mofa ya ma,unknown,pg-13 - teens 13 or older,6.21,57,unknown,
13585,natsuyuki rendezvous,manga,pg-13 - teens 13 or older,7.34,22974,summer 2012,doga kobo
1969,mobile suit zeta gundam: a new translation iii - love is the pulse of the stars,original,pg-13 - teens 13 or older,7.3,3174,unknown,sunrise
3813,gekkou no pierce: yumemi to gin no bara no kishidan,light novel,g - all ages,6.09,104,unknown,studio pierrot
22295,juuza engi: engetsu sangokuden - gaiden youzhou genya,unknown,pg-13 - teens 13 or older,5.91,825,unknown,
8518,mai-otome special: otome no inori,original,pg-13 - teens 13 or older,6.51,871,unknown,sunrise
6890,ontama!,manga,g - all ages,6.9,847,unknown,encourage films
35507,youkoso jitsuryoku shijou shugi no kyoushitsu e (tv),light novel,pg-13 - teens 13 or older,7.93,119405,summer 2017,lerche
6907,mikan-seijin,unknown,g - all ages,5.63,98,unknown,
32933,xiao yeyou,other,g - all ages,5.1,55,unknown,
37150,douluo dalu,novel,pg-13 - teens 13 or older,7.68,381,unknown,sparkly key animation studio
13677,ao no exorcist movie special,unknown,pg-13 - teens 13 or older,7.14,8985,unknown,
4250,kore ga ufo da! soratobu enban,original,pg - children,4.85,360,unknown,toei animation
7836,notari matsutarou,unknown,none,5.91,60,unknown,
12663,patalliro! stardust keikaku,unknown,pg-13 - teens 13 or older,6.84,104,unknown,toei animation
13169,buta,unknown,g - all ages,6.5,3994,unknown,telecom animation film
18819,alice tantei kyoku,original,g - all ages,5.25,28,spring 1995,
9074,arakawa under the bridge x bridge,manga,pg-13 - teens 13 or older,7.82,53881,fall 2010,shaft
35503,shoujo☆kageki revue starlight,original,none,0,0,summer 2018,kinema citrus
1693,reideen,unknown,pg-13 - teens 13 or older,6.63,2042,winter 2007,production i.g
37789,tenchi muyou! ryououki 3rd season picture drama,original,g - all ages,6.4,20,unknown,
22197,yuuto-kun ga iku movie,unknown,pg - children,4.88,8,unknown,shirogumi
25441,shin strange+ special,manga,pg-13 - teens 13 or older,6.01,267,unknown,seven
30392,joukyou monogatari,unknown,g - all ages,5.75,57,unknown,
19871,gaist crusher,game,pg - children,5.91,146,fall 2013,studio pierrot
18,initial d fourth stage,manga,pg-13 - teens 13 or older,8.24,37675,spring 2004,a.c.g.t.
10236,kagee grimm douwa,unknown,g - all ages,6.42,24,unknown,
31014,aru zombie shoujo no sainan,light novel,pg-13 - teens 13 or older,4.78,263,unknown,
5060,hetalia axis powers,web manga,pg-13 - teens 13 or older,7.68,81885,unknown,studio deen
5322,mugen kouro,game,pg-13 - teens 13 or older,5.13,377,unknown,"gonzo, production i.g"
546,wind: a breath of heart (tv),visual novel,pg-13 - teens 13 or older,6.08,3116,summer 2004,radix
22617,pochacco no wakuwaku birthday,unknown,g - all ages,6.05,22,unknown,
33915,kitty-chan wo sagase! toyama-shi stamp rally,other,g - all ages,4.42,26,unknown,dle
7625,yousei dick,unknown,pg - children,5.5,40,summer 1992,
10244,ultra b: black hole kara no dokusaisha bb!!,manga,g - all ages,5.8,15,unknown,shin-ei animation
6653,ginga tetsudou 999: glass no clair,manga,g - all ages,6.68,558,unknown,toei animation
10249,toaru majutsu no index-tan ii,unknown,pg-13 - teens 13 or older,7.09,10467,unknown,j.c.staff
2618,takarajima,novel,pg-13 - teens 13 or older,8.09,3201,fall 1978,"madhouse, tms entertainment"
1921,urusei yatsura movie 2: beautiful dreamer,manga,pg-13 - teens 13 or older,7.87,3574,unknown,studio pierrot
31599,kaette kite yoo toyama kara,original,g - all ages,4.54,13,unknown,dle
31073,show by rock!!: plasmagica na gogo,game,g - all ages,5.85,194,unknown,
9754,kuragehime: eiyuu retsuden☆,manga,pg-13 - teens 13 or older,6.65,4508,unknown,brain&#039
33217,hikaru genji: paradise ginga,music,g - all ages,5.14,81,unknown,
14889,ebiten: kouritsu ebisugawa koukou tenmonbu ova,manga,pg-13 - teens 13 or older,6.45,1480,unknown,
29830,tamayura: sotsugyou shashin part 3 - akogare,original,g - all ages,7.87,1372,unknown,tyo animations
1259,saint seiya: tenkai-hen josou - overture,unknown,pg-13 - teens 13 or older,7.36,8597,unknown,toei animation
459,one piece movie 1,manga,pg-13 - teens 13 or older,7.22,34768,s spring 2000 anime fair.,
18533,jungle taitei leo: hon-o-ji,manga,g - all ages,6.36,74,unknown,
26337,minna no doutoku,unknown,g - all ages,7.6,5,unknown,
26301,donguri to yamaneko (1995),book,g - all ages,4.43,7,unknown,
2661,doraemon movie 13: nobita to kumo no oukoku,unknown,pg - children,7.37,1468,unknown,
31486,tantei opera milky holmes movie: gyakushuu no milky holmes,card game,pg-13 - teens 13 or older,7.16,707,unknown,j.c.staff
10016,kizuna ichigeki,unknown,g - all ages,6.64,2821,unknown,ascension
4918,xxxholic shunmuki,manga,pg-13 - teens 13 or older,8.15,23974,unknown,production i.g
33095,shouwa genroku rakugo shinjuu: sukeroku futatabi-hen,manga,pg-13 - teens 13 or older,8.87,27311,winter 2017,studio deen
30199,hakimono to kasa no monogatari,original,g - all ages,5.61,88,unknown,
33670,xingji biaoche wang,original,g - all ages,5.23,13,winter 2006,
14837,dragon ball z movie 14: kami to kami,manga,pg-13 - teens 13 or older,7.57,66287,unknown,toei animation
21591,wasure-boshi,unknown,g - all ages,5.68,292,unknown,
678,shadow skill: eigi,unknown,pg-13 - teens 13 or older,7.2,3287,summer 1998,studio deen
17979,kiki to lala no papa to mama ni aitai,unknown,g - all ages,5.11,27,unknown,
3761,wanwan sanjuushi,unknown,g - all ages,6.76,895,fall 1981,nippon animation
18629,taiheiyou ni kakeru niji,unknown,pg-13 - teens 13 or older,5.26,19,unknown,toei animation
8140,konchuu monogatari minashigo hutch (1989),unknown,g - all ages,6.45,271,summer 1989,tatsunoko production
5041,guin saga,light novel,pg-13 - teens 13 or older,7.25,10848,spring 2009,satelight
21891,natsumi step!,original,g - all ages,5.06,101,unknown,
12623,egomama,unknown,g - all ages,7.16,1171,unknown,
34818,sakura internet,original,pg-13 - teens 13 or older,5.77,636,unknown,white fox
2522,rakushou! hyper doll,manga,pg-13 - teens 13 or older,5.76,554,unknown,
24873,juuou mujin no fafnir,light novel,pg-13 - teens 13 or older,6.43,41266,s light novel series of the same title.,
5984,ristorante paradiso,manga,pg-13 - teens 13 or older,7.45,8804,spring 2009,david production
8706,sos tv walpurgis night fever,original,pg-13 - teens 13 or older,5.72,75,unknown,
7435,dragon quest: dai no daibouken (1991),game,g - all ages,6.81,273,unknown,toei animation
12191,smile precure!,original,g - all ages,7.2,4936,winter 2012,toei animation
33018,katsugeki/touken ranbu,card game,pg-13 - teens 13 or older,6.8,15083,summer 2017,ufotable
11061,hunter x hunter (2011),manga,pg-13 - teens 13 or older,9.11,403377,fall 2011,madhouse
6227,lovedol: lovely idol ova,unknown,pg-13 - teens 13 or older,6.28,388,unknown,
23623,non non biyori repeat,manga,pg-13 - teens 13 or older,8.23,45273,summer 2015,silver link.
